valtable_id,definition,description,vss_type,vss_labels
DPFACTREGENIHBSW,0:NOT_INHIBITED;1:INHIBITED;3:NA,Value table for DPFACTREGENIHBSW,boolean,NOT_INHIBITED|INHIBITED
ATDEFPPT,0:UREA_CONCENTRATION_TOO_HIGH;1:UREA_CONCENTRATION_TOO_LOW;2:FLUID_IS_DIESEL;3:DEF_IS_PROPER_MIXTURE;13:NOT_ABLE_TO_DETERMINE;14:ERR;15:NA,Value table for ATDEFPPT,enum,UREA_CONCENTRATION_TOO_HIGH|UREA_CONCENTRATION_TOO_LOW|FLUID_IS_DIESEL|DEF_IS_PROPER_MIXTURE|NOT_ABLE_TO_DETERMINE
ATSELCATALREDOPRINDACT,0:OFF;1:ON;4:BLINKING;7:NA,Value table for ATSELCATALREDOPRINDACT,enum,OFF|ON|BLINKING
ATGASSSHTCONT,0:AUTOMATIC;1:PREHEAT_2;2:PREHEAT_1;3:HEATER_OFF,Value table for ATGASSSHTCONT,enum,AUTOMATIC|PREHEAT_2|PREHEAT_1|HEATER_OFF
EGOVRCONTMD,0:OVERRIDE_DISABLED;1:SPEED_CONTROL;2:TORQUE_CONTROL;3:SPEED_TORQUE_LIMIT_CONTROL,Value table for EGOVRCONTMD,enum,OVERRIDE_DISABLED|SPEED_CONTROL|TORQUE_CONTROL|SPEED_TORQUE_LIMIT_CONTROL
PRI,0:HIGHEST;1:HIGH;2:MEDIUM;3:LOW,Value table for PRI,enum,HIGHEST|HIGH|MEDIUM|LOW
TRACTIONCONT,0:OFF;1:LOW;2:MEDIUM;3:HIGH;4:AUTO,Value table for TRACTIONCONT,enum,OFF|LOW|MEDIUM|HIGH|AUTO
POWMD,0:ECO;1:STD;2:PWR;3:NA,Value table for POWMD,enum,ECO|STD|PWR
MAXSPD,0:NEUTRAL;1:SPEED_1;2:SPEED_2;3:SPEED_3;4:SPEED_4;5:SPEED_5,Value table for MAXSPD,enum,NEUTRAL|SPEED_1|SPEED_2|SPEED_3|SPEED_4|SPEED_5
RPMREQMD,0:AUTOIDLE;1:LIMPHOME;3:NONE,Value table for RPMREQMD,enum,AUTOIDLE|LIMPHOME
NFR,0:POSITION_N;1:POSITION_F;2:POSITION_R;3:TCU_REQUIRES_N_POSITION,Value table for NFR,enum,POSITION_N|POSITION_F|POSITION_R|TCU_REQUIRES_N_POSITION
GRST,0:NEUTRAL;1:GEAR_1;2:GEAR_2;3:GEAR_3;4:GEAR_4;5:GEAR_5;6:GEAR_6;7:LIMP_HOME,Value table for GRST,enum,NEUTRAL|GEAR_1|GEAR_2|GEAR_3|GEAR_4|GEAR_5|GEAR_6|LIMP_HOME
OPMD,0:NORMAL;1:SUBSTITUTE_CLUTCH_CONTROL;2:LIMP_HOME;3:TRANSMISSION_SHUTDOWN;4:TCU_SHUTDOWN;5:TCU_KEY_OFF;6:TCU_IDLE,Value table for OPMD,enum,NORMAL|SUBSTITUTE_CLUTCH_CONTROL|LIMP_HOME|TRANSMISSION_SHUTDOWN|TCU_SHUTDOWN|TCU_KEY_OFF|TCU_IDLE
MCHKEYONST,0:KEY_OFF;1:KEY_ON;2:KEY_OFF_CHARGING;3:ND,Value table for MCHKEYONST,enum,KEY_OFF|KEY_ON|KEY_OFF_CHARGING
TWOWAYOPT,0:ND;1:JOYSTICK_THUMB_WHEEL;2:OPTION_PEDAL,Value table for TWOWAYOPT,enum,JOYSTICK_THUMB_WHEEL|OPTION_PEDAL
ISOBHL,0:OFF;1:ISO;2:BHL,Value table for ISOBHL,enum,OFF|ISO|BHL
TRVMDWHL,0:1;1:2;2:3;3:ND,Value table for TRVMDWHL,enum,1|2|3
HHMNTLGC,0:OFF;1:3000M_OR_LESS;2:4000M_OR_LESS;3:4000M_EXCEED,Value table for HHMNTLGC,enum,OFF|3000M_OR_LESS|4000M_OR_LESS|4000M_EXCEED
BRAKERACT,0:STOP;1:RUNNING;2:FORCED_STOP;3:NA,Value table for BRAKERACT,enum,STOP|RUNNING|FORCED_STOP
TRVMDWLD,0:MANUAL;1:AUTO_SPEED_1;2:AUTO_SPEED_2;3:ND,Value table for TRVMDWLD,enum,MANUAL|AUTO_SPEED_1|AUTO_SPEED_2
HSTMDWLD,0:MAX;1:AUTO;2:SLIP;3:ND,Value table for HSTMDWLD,enum,MAX|AUTO|SLIP
OPRPOWMD,0:P_HDI;1:S_HDI;2:E_HDI;3:A_HDI;4:P_PLUS_HDI;5:I_HCE;6:L_HCE;7:E_HCE;8:P_HCE;9:HP_HCE;10:AP_HCE;11:P_SMART_HCE,Value table for OPRPOWMD,enum,P_HDI|S_HDI|E_HDI|A_HDI|P_PLUS_HDI|I_HCE|L_HCE|E_HCE|P_HCE|HP_HCE|AP_HCE|P_SMART_HCE
OPRMD,0:NORMAL;1:DIGGING,Value table for OPRMD,enum,NORMAL|DIGGING
COLDSTARTMCU,0:OFF;1:TRSM_PRE_HEATING;2:GEAR_NEUTRAL_FOR_PRE_HEATING;3:NO_FOOT_ON_PDL_FOR_PRE_HEAT;4:PARKING_BRAKE_FOR_PRE_HEATING;5:FAULT_WHILE_PRE_HEATING;6:SLOW_BLINKING;7:NORMAL_BLINKING,Value table for COLDSTART_MCU,enum,OFF|TRSM_PRE_HEATING|GEAR_NEUTRAL_FOR_PRE_HEATING|NO_FOOT_ON_PDL_FOR_PRE_HEAT|PARKING_BRAKE_FOR_PRE_HEATING|FAULT_WHILE_PRE_HEATING|SLOW_BLINKING|NORMAL_BLINKING
WHLDRVMD,0:OFF;1:FRONTALIGNREQ;2:REARALIGNREQ;3:ALIGNCOMPLETE,Value table for WHLDRVMD,enum,OFF|FRONTALIGNREQ|REARALIGNREQ|ALIGNCOMPLETE
VHCSTSYMB,0:OFF;1:GREY;2:GREEN;3:YELLOW,Value table for VHCSTSYMB,enum,OFF|GREY|GREEN|YELLOW
DAC,0:NOT_READY;1:STAND_BY;2:MANUAL;3:AUTO;4:INTERLOCK;5:SUSPEND_AUTO,Value table for DAC,enum,NOT_READY|STAND_BY|MANUAL|AUTO|INTERLOCK|SUSPEND_AUTO
CHMSL,0:OFF;1:BRAKE_ON;2:STANDBY_WORKING_CONTINUOUS;3:WORKING_STATUS_FLASHING;4:SWING_RIGHT;5:SWING_LEFT;6:OBJECT_SENSING_FAST_FLASHING,Value table for CHMSL,enum,OFF|BRAKE_ON|STANDBY_WORKING_CONTINUOUS|WORKING_STATUS_FLASHING|SWING_RIGHT|SWING_LEFT|OBJECT_SENSING_FAST_FLASHING
MCHCOND,0:IDLE_CONDITION;1:WORKING_CONDITION;2:ERR;3:STANDSTILL_CONDITION,Value table for MCHCOND,enum,IDLE_CONDITION|WORKING_CONDITION|STANDSTILL_CONDITION
PILOTCUTOFFST,0:UNLOCK;1:MANUAL_LOCK;2:AUTO_LOCK;3:NA,Value table for PILOTCUTOFFST,enum,UNLOCK|MANUAL_LOCK|AUTO_LOCK
BODYST,0:OFF;1:HOLD;2:FLOAT;3:ND,Value table for BODYST,enum,OFF|HOLD|FLOAT
ECOSYMBOL,0:GREEN;1:YELLOW;2:RED;3:WHITE,Value table for ECOSYMBOL,enum,GREEN|YELLOW|RED|WHITE
PROGRESS,0:NONE;1:IN_PROGRESS;2:COMPLETE;3:NA,Value table for PROGRESS,enum,IN_PROGRESS|COMPLETE
PROGRESS2,0:IN_PROGRESS;1:COMPLETE,Value table for PROGRESS2,enum,IN_PROGRESS|COMPLETE
MANAUTO,0:MANUAL;1:AUTO;2:ERR;3:NA,Value table for MANAUTO,enum,MANUAL|AUTO
ADMINSET,0:NONE;1:IGNITION_LOCK;2:ATTACHMENT;4:ENTERTAINMENT_RESTRICT,Value table for ADMINSET,enum,IGNITION_LOCK|ATTACHMENT|ENTERTAINMENT_RESTRICT
UPTIME,0:ALWAYS;1:1MIN;2:5MIN;3:NA,Value table for UPTIME,enum,ALWAYS|1MIN|5MIN
HYDELEC,0:HYDRAULIC;1:ELECTRIC;2:ELECTRONIC,Value table for HYDELEC,enum,HYDRAULIC|ELECTRIC|ELECTRONIC
JOYPDL,0:NA;1:JOYSTICK;2:OPTION_PEDAL,Value table for JOYPDL,enum,JOYSTICK|OPTION_PEDAL
THMBWHL,0:SLOW;1:NORMAL;2:FAST,Value table for THMBWHL,enum,SLOW|NORMAL|FAST
MULTIFUNC,0:WIPER_ON;1:SMART_BOOM_CUT;2:CAMERA_VIEW_MODE_CHANGE;3:RAM_LOCK_STATUS_CHANGE;4:AUDIO_MUTE;5:AUTO_BREAKER;6:FRONT_LIMITATION;7:ND,Value table for MULTIFUNC,enum,WIPER_ON|SMART_BOOM_CUT|CAMERA_VIEW_MODE_CHANGE|RAM_LOCK_STATUS_CHANGE|AUDIO_MUTE|AUTO_BREAKER|FRONT_LIMITATION
EMSCTRL,0:TIER2;1:TIER3;2:TIER4I;3:TIER4F;4:STAGEV;5:NR4;128:NA,Value table for EMSCTRL,enum,TIER2|TIER3|TIER4I|TIER4F|STAGEV|NR4
MCHGEN,0:DX;1:U;2:V;3:C;4:B;5:W;96:JD;108:AGK;128:DL;129:H;130:K;131:S;132:SD;133:G;224:D,Value table for MCHGEN,enum,DX|U|V|C|B|W|JD|AGK|DL|H|K|S|SD|G|D
MCHTYPE,0:CRAWLER;1:LONG_CRAWLER;2:LOGLOADER;3:REDUCED_TAIL;4:ZERO_TAIL;5:MOUNTAIN;6:WHEEL;7:LOADER;8:DOZER;9:MATERIAL_HANDLER;10:MATERIAL_HANDLER_WHEEL;11:DRILL_RIG;12:COMPACT_TRACK_LOADER;13:ROAD_BUILDER;14:ADT,Value table for MCHTYPE,enum,CRAWLER|LONG_CRAWLER|LOGLOADER|REDUCED_TAIL|ZERO_TAIL|MOUNTAIN|WHEEL|LOADER|DOZER|MATERIAL_HANDLER|MATERIAL_HANDLER_WHEEL|DRILL_RIG|COMPACT_TRACK_LOADER|ROAD_BUILDER|ADT
