NAME,DESC,VALUE
PDLCALB,MAX_PUSHED_CAL_CMD,2
JOYSTICK,SMOOTH,0
JOYSTICK,NORMAL,1
JOYSTICK,FAST,2
JOYSTICK,NOT_DEFINED,3
NOINREQ,START,0
NOINREQ,COMPLETE,1
DOORLCKST,NONE,0
DOORLCKST,LOCK,1
DOORLCKST,UNLOCK,2
DOORLCKST,NOT_AVAILABLE,3
NONEONOFF,NONE,0
NONEONOFF,ON,1
NONEONOFF,OFF,2
NONEONOFF,FAILED,3
FOBRGSTFDBK,NONE,0
FOBRGSTFDBK,NOT_DETECTION,1
FOBRGSTFDBK,DETECTION_COMPLETED,2
FOBRGSTFDBK,NOT_AVAILABLE,3
BLINKING,OFF,0
BLINKING,ON_NO_BLINKING,1
BLINKING,ON_NORMAL_BLINKING,2
BLINKING,ON_SLOW_BLINKING,3
KEYSTCHANGE,KEY_OFF,0
KEYSTCHANGE,ACC,1
KEYSTCHANGE,KEY_ON,2
KEYSTCHANGE,CRANK_RUN,3
DETECT,NO_DETECT,0
DETECT,DETECT,1
OPENCLOSE,OPEN,0
OPENCLOSE,CLOSE,1
RMRUNNINGST,NORMAL_STATUS,0
RMRUNNINGST,REMOTE_RUNNING_STATUS,1
ACTIVATION,NO_ACTIVATION,0
ACTIVATION,ACTIVATION,1
ACTIVE,INACTIVE,0
ACTIVE,ACTIVE,1
ACTIVE,RESERVED,2
ACTIVE,NOT_AVAILABLE,3
DRTINDICATION,FORWARD,0
DRTINDICATION,REVERSE,1
DRTINDICATION,ERROR,2
DRTINDICATION,NOT_AVAILABLE,3
IFCONFIGUREDASPRPTA,ALWAYS,0
STRMDREQ,NOT_OPERATING,0
STRMDREQ,OPERATING,1
AUXSTRDEVICELCKOUT,AUX_STEERING_ALLOWED,0
AUXSTRDEVICELCKOUT,AUX_STEERING_PROHIBITED,1
AUXSTRDEVICELCKOUT,RESERVED,2
AUXSTRDEVICELCKOUT,NOT_AVAILABLE,3
AUTOGUDRECVSELANDLCKOUT,NO_GPS_RECEV_SEL_GPS_STR_PROH,0
AUTOGUDRECVSELANDLCKOUT,GPS_STEERING_SELECTED,1
AUTOGUDRECVSELANDLCKOUT,GPS_2_STEERING_SELECTED,2
AUTOGUDRECVSELANDLCKOUT,RESERVED,3
TRVLSPDSET,PRESET_1,0
TRVLSPDSET,PRESET_2,1
TRVLSPDSET,PRESET_3,2
TRVLSPDSET,PRESET_4,3
SPD,SPEED_0,0
SPD,SPEED_0.5,1
SPD,SPEED_1,2
SPD,SPEED_1.5,3
SPD,SPEED_2,4
SPD,SPEED_2.5,5
SPD,SPEED_3,6
SPD,SPEED_3.5,7
SPD,SPEED_4,8
SPD,SPEED_4.5,9
SPD,SPEED_5,10
CURPWRMD,ECO,0
CURPWRMD,STD,1
CURPWRMD,PWR,2
CURPWRMD,NOT_AVAILABLE,3
MNAUTOMDST,MANUAL,0
MNAUTOMDST,NOT_AVAILABLE,1
MNAUTOMDST,AUTO,2
MNAUTOMDST,RESERVED,3
MDST,DISABLE,0
MDST,NOT_AVAILABLE,1
MDST,ENAEBLE,2
MDST,RESERVED,3
OUTTAKEINTAKEMDST,OUTTAKE_MODE,0
OUTTAKEINTAKEMDST,NOT_AVAILABLE,1
OUTTAKEINTAKEMDST,INTAKE_MODE,2
OUTTAKEINTAKEMDST,RESERVED,3
VHCSTSYBACOFFIND,OFF,0
VHCSTSYBACOFFIND,ON_NO_BLINKING,1
VHCSTSYBACOFFIND,BLINK_NORMAL_BLINK,2
VHCSTSYBACOFFIND,BLINK_SLOW_BLINK,3
OUTREQ,OFF,0
OUTREQ,ON,1
OUTREQ,ERROR,2
OUTREQ,NOT_AVAILABLE,3
OUTFDBKCUR,ERROR,254
OUTFDBKCUR,NOT_AVAILABLE,255
ERRORFLAG,NONE,0
ERRORFLAG,ERROR,255
NOROPENSHORT,NORMAL,0
NOROPENSHORT,OPEN,1
NOROPENSHORT,SHORT,2
RESOLUTIONMD,STANDARD_RESOLUTION,0
RESOLUTIONMD,HIGH_RESOLUTION,1
RESOLUTIONMD,RESERVED,2
RESOLUTIONMD,DONT_CARE,3
VVST,BLOCK,0
VVST,EXTEND,1
VVST,RETRACT,2
VVST,FLOAT,3
VVST,NOT_AVAILABLE,15
FAILSAFEMD,BLOCK,0
FAILSAFEMD,EXTEND,1
FAILSAFEMD,RESERVED,2
FAILSAFEMD,DONT_CARE,3
AVMLANGUAGEPACK,NOTUSED,0
AVMLANGUAGEPACK,KOREAN_DEFAULT,1
AVMLANGUAGEPACK,ENGLISH,2
AVMLANGUAGEPACK,CHINESE_PRC,3
AVMLANGUAGEPACK,FRENCH_FRANCE,4
AVMLANGUAGEPACK,GERMAN_GERMANY,5
AVMLANGUAGEPACK,DUTCH_NETHERLANDS,6
AVMLANGUAGEPACK,ITALIAN_ITALY,7
AVMLANGUAGEPACK,PORTUGUESE_PORTUGAL,8
AVMLANGUAGEPACK,SPANISH_INTERNATIONAL,9
AVMLANGUAGEPACK,FINNISH,10
AVMLANGUAGEPACK,SWEDISH,11
AVMLANGUAGEPACK,NORWEGIAN_BOKMAL,12
AVMLANGUAGEPACK,DANISH,13
AVMLANGUAGEPACK,JAPANESE,14
AVMLANGUAGEPACK,TURKISH,15
AVMLANGUAGEPACK,INDONESIAN,16
AVMLANGUAGEPACK,POLISH,17
AVMLANGUAGEPACK,RUSSIAN,18
AVMLANGUAGEPACK,ARABIC_SAUDI_ARABIA,19
AVMLANGUAGEPACK,FARSI_PERSIAN,20
AVMLANGUAGEPACK,HINDI,21
