NAME,DESC,VALUE
MCHGEN,D,224
MCHTYPE,CRAWLER,0
MCHTYPE,LONG_CRAWLER,1
MCHTYPE,LOGLOADER,2
MCHTYPE,REDUCED_TAIL,3
MCHTYPE,ZERO_TAIL,4
MCHTYPE,MOUNTAIN,5
MCHTYPE,WHEEL,6
MCHTYPE,LOADER,7
MCHTYPE,DOZER,8
MCHTYPE,MATERIAL_HANDLER,9
MCHTYPE,MATERIAL_HANDLER_WHEEL,10
MCHTYPE,DRILL_RIG,11
MCHTYPE,COMPACT_TRACK_LOADER,12
MCHTYPE,ROAD_BUILDER,13
MCHTYPE,ADT,14
EGMAKER,NONE,0
EGMAKER,DEVELON,1
EGMAKER,SCANIA,2
EGMAKER,CUMMINS,3
EGMAKER,PERKINS,4
EGMAKER,ISUZU,5
EGMAKER,YANMAR,7
EGMAKER,DAEDONG,8
EGMAKER,KUBOTA,9
EGMAKER,WEICHAI,10
ECUMAKER,NONE,0
ECUMAKER,BOSCH_DL06_DL08,1
ECUMAKER,SCANIA,2
ECUMAKER,CUMMINS,3
ECUMAKER,PERKINS_2506J,4
ECUMAKER,ISUZU,5
ECUMAKER,BOSCH_G2,6
ECUMAKER,HITACHI,7
ECUMAKER,PERKINS_1204J,8
ECUMAKER,WOODWARD,9
ECUMAKER,BOSCH_EDC7,10
ECUMAKER,WEIFU,11
ECUMAKER,PERKINS_2506J_UNIFIED,12
ECUMAKER,BOSCH_DX05_DX08,13
ECUMAKER,KUBOTA,14
ECUMAKER,ECU_MAKER_2,15
PMPTYPE,NEGACON,0
PMPTYPE,POSICON,1
PMPTYPE,OPEN_CENTER,2
PMPTYPE,VBO,3
PMPTYPE,LS,4
MECHELEC,MECHANIC,0
MECHELEC,ELECTRIC,1
MCVCTRLTYPE,MECHANIC,0
MCVCTRLTYPE,VBO,1
MCVCTRLTYPE,FEH,2
TCUTYPE,HDT,0
TCUTYPE,HST,1
TCUTYPE,CVT,2
TCUTYPE,HDT_LEVEL1,3
REGION,KOREA,0
REGION,CHINA,1
REGION,ADVANCED,2
REGION,EMERGING,3
REGION,US,4
BTN,PUSH,0
BTN,TOGGLE,1
BTN,PROPOTIONOT_AVAILABLEL,2
BTN,NOT_AVAILABLE,3
GYR,GREEN,0
GYR,YELLOW,1
GYR,RED,2
WGHST,READY,0
WGHST,ESTIMATE,1
WGHST,CONFIRM,2
WGHST,COMPLETE,3
WGHST,ESTIMATE_TRUCK_TIP_OFF,4
WGHST,CONFIRM_TRUCK_TIP_OFF,5
WGHCNTST,OFF,0
WGHCNTST,CANCEL,1
WGHCNTST,RETURN,2
WGHCNTST,NOT_DEFINED,3
STAGE,RESERVED,0
STAGE,STAGE_0,1
STAGE,STAGE_1,2
STAGE,STAGE_2,3
STAGE,STAGE_3,4
STAGE,STAGE_4,5
STAGE,STAGE_5,6
STAGE,STAGE_6,7
STAGE,STAGE_7,8
STAGE,STAGE_8,9
STAGE,STAGE_9,10
STAGE,STAGE_10,11
STAGE,STAGE_11,12
STAGE,LAST_STAGE_CONFIRM,13
STAGE,SUCCESS,14
STAGE,ERROR,15
STEP,READY,0
STEP,STEP0,1
STEP,STEP1,2
STEP,STEP2,3
STEP,STEP3,4
STEP,STEP4,5
STEP,STEP5,6
STEP,STEP6,7
STEP,STEP7,8
STEP,STEP8,9
STEP,STEP9,10
STEP,STEP10,11
STEP,STEP11,12
STEP,STEP12,13
STEP,STEP13,14
STEP,STEP14,15
GRADEOFFSETSW,NO_BUTTON_PRESSED,0
GRADEOFFSETSW,INCREMENT_BUTTON_PRESSED,1
GRADEOFFSETSW,DECREMENT_BUTTON_PRESSED,2
GRADEOFFSETSW,ERROR,14
GRADEOFFSETSW,NOT_AVAILABLE,15
BLADEAUTOMD,AUTO_ALLOWED,0
BLADEAUTOMD,SUSPEND_AUTO,2
BLADEAUTOMD,SERVICE_MODE,3
BLADEAUTOMD,AUTO_NOT_ALLOWED,4
BLADEAUTOMD,ERROR,14
BLADEAUTOMD,NOT_AVAILABLE,15
TMSSTINFO01,SECURITY_CLEAR,0
TMSSTINFO01,SECURITY,1
VWMD,TOP,0
VWMD,REAR,1
VWMD,RIGHT,2
VWMD,TOPPLUSREAR,3
VWMD,3D,4
VWMD,BOOM,5
VWMD,NOT_AVAILABLE,15
PRIMD,NORMAL_MODE,0
PRIMD,PRIORITY_MODE,1
FACTORYTYPE,FACTORY_1,0
FACTORYTYPE,FACTORY_2,1
FACTORYTYPE,FACTORY_3,2
FACTORYTYPE,FACTORY_4,3
VHCTYPE1,WHEEL,0
VHCTYPE1,CRAWLER,1
VHCTYPE2,LC,0
VHCTYPE2,LCR,1
VHCTYPE2,LL,2
VHCTYPE2,NOT_DEFINED,3
ULTSRECOGNITIONDISTANCESET,ALL,0
ULTSRECOGNITIONDISTANCESET,UPPER_BODY,1
BOOMCAMOPT,BOOM_CAMERA_DISABLED,0
BOOMCAMOPT,BOOM_CAMERA_ENABLED,1
ONOFFST,ON,0
ONOFFST,OFF,1
