VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.PMI.MG1IT,branch,Motor/Generator 1 Inverter Temperature,,,,,,,,J1939,,
Mch.PMI.MG1IR2,branch,Motor/Generator 1 Inverter Reference 2,,,,,,,,J1939,,
Mch.PMI.MG1IS1,branch,Motor/Generator 1 Inverter Status 1,,,,,,,,J1939,,
Mch.AGW.HVESSCFG,branch,High Voltage Energy Storage System Configuration,,,,,,,,J1939,,
Mch.AGW.HVESSHIST,branch,High Voltage Energy Storage System History,,,,,,,,J1939,,
Mch.ECU.DPFC2,branch,Diesel Particulate Filter Control 2,,,,,,,,J1939,,
Mch.HDOQS.OQM1,branch,Oil Quality Message 1,,,,,,,,J1939,,
Mch.EGOQS.OQM1,branch,Oil Quality Message 1,,,,,,,,J1939,,
Mch.ECU.HRLFC,branch,High Resolution Fuel Consumption (Liquid),,,,,,,,J1939,,
Mch.ATSGO.AT1OGC2,branch,Aftertreatment 1 Outlet Gas NOx Sensor Correction Data 2,,,,,,,,J1939,,
Mch.ATSGO.AT1OGC1,branch,Aftertreatment 1 Outlet Gas NOx Sensor Correction Data 1,,,,,,,,J1939,,
Mch.KPD2.AT1IGC2,branch,Aftertreatment 1 Intake Gas NOx Sensor Correction Data 2,,,,,,,,J1939,,
Mch.KPD2.AT1IGC1,branch,Aftertreatment 1 Intake Gas NOx Sensor Correction Data 1,,,,,,,,J1939,,
Mch.OBC.BCH1,branch,Battery Charger 1,,,,,,,,J1939,,
Mch.ECU.A1DOC1,branch,Aftertreatment 1 Diesel Oxidation Catalyst,,,,,,,,J1939,,
Mch.ECU.AT1S,branch,Aftertreatment 1 Outlet Gas 2,,,,,,,,J1939,,
Mch.ECU.DPFC1,branch,Diesel Particulate Filter Control 1,,,,,,,,J1939,,
Mch.TCU.TRF2,branch,TRF2,,,,,,,,J1939,,
Mch.ECU.A1DEFI1,branch,Aftertreatment 1 Diesel Exhaust Fluid Information 1,,,,,,,,J1939,,
Mch.ECU.AT1FC1,branch,Aftertreatment1 Fuelcontrol Frame1,,,,,,,,J1939,,
Mch.ECU.AT1IMG,branch,Aftertreatment 1 Intermediate Gas,,,,,,,,J1939,,
Mch.ECU.AT1OG2,branch,Aftertreatment 1 Outlet Gas 2,,,,,,,,J1939,,
